"Vermögen p50","Vermögen p25","Vermögen p75"
89.0,11.0,508.0
705.0,166.0,2360.0
106.0,8.0,478.0
66.0,7.0,328.0
450.0,113.0,1450.0
125.0,12.0,385.0
50.0,7.0,236.0
311.5,66.0,1071.0
40.0,2.0,197.0
80.0,9.0,372.0
359.5,75.0,1091.0
45.0,2.0,235.0
60.0,5.0,246.0
235.0,55.0,843.0
53.0,2.0,279.0
53.0,6.0,215.5
256.0,57.0,844.0
31.0,0.0,244.0
47.0,3.0,240.0
284.0,53.0,937.0
60.0,5.0,159.0
30.0,2.0,145.0
124.0,14.0,402.0
41.0,0.0,222.0
52.0,6.0,241.0
236.5,52.0,668.0
25.5,0.0,144.5
29.0,2.0,123.0
97.5,6.0,373.0
21.5,0.0,105.0
3.0,0.0,37.5
28.0,0.0,137.5
109.0,3.0,397.0
11.5,0.0,76.0
14.0,0.0,90.0
46.0,0.0,244.0
28.0,0.0,151.5
1.0,0.0,25.5
11.0,0.0,78.0
19.0,0.0,185.0
23.0,0.0,144.0
0.0,0.0,15.0
36.0,1.0,201.0
314.0,64.0,1029.0
96.0,3.0,403.0
47.0,5.0,336.0
343.0,60.0,1453.0
77.5,4.0,406.0
396.5,101.5,1549.5
21.0,0.0,134.0
184.0,38.0,707.0
38.0,4.0,177.0
186.0,37.0,543.0
31.0,1.0,152.0
128.5,16.0,370.5
6.5,0.0,38.0
54.0,5.0,284.5
281.0,48.0,1011.0
38.0,4.5,143.0
33.0,2.0,135.0
94.0,3.0,375.0
22.0,0.0,111.0
19.0,0.0,101.0
81.0,7.0,250.0
8.0,0.0,58.0
19.0,0.0,97.0
33.0,0.0,194.0
3.0,0.0,47.5
22.0,0.0,107.0
42.0,0.0,225.0
27.0,0.0,108.0
10.5,0.0,131.0
3.5,0.0,74.5
8.0,0.0,53.0
2.0,0.0,71.0
18.0,0.0,86.0
28.5,0.0,193.0
24.0,0.0,94.0
29.5,1.0,143.0
146.0,14.0,431.0
52.0,0.0,182.0
39.0,4.0,159.0
143.0,23.0,439.0
27.0,0.0,132.0
61.0,9.0,282.0
424.0,128.0,1197.0
87.0,13.0,309.0
89.0,10.0,500.0
720.0,178.0,2240.0
102.0,22.0,473.0
67.0,6.0,335.0
471.0,112.0,1494.0
102.0,10.0,316.0
53.0,9.0,243.0
306.0,63.0,1100.0
32.0,1.0,164.0
81.0,8.0,385.0
375.0,73.0,1157.0
65.0,7.0,256.0
274.5,65.0,902.0
51.0,5.0,228.0
55.0,6.0,221.0
252.0,62.0,816.0
28.0,0.0,190.5
51.0,4.0,270.5
289.0,54.0,981.0
64.5,6.0,225.0
31.0,1.0,146.0
122.0,12.0,412.5
23.0,0.0,112.0
40.0,0.0,221.0
53.0,6.0,248.0
238.0,51.0,684.0
31.0,0.0,126.0
31.0,2.0,126.0
109.0,6.0,399.0
19.0,0.0,93.0
1.0,0.0,39.0
29.0,0.0,139.0
118.5,4.0,404.5
14.0,0.0,91.0
46.0,0.0,239.0
30.0,0.0,158.0
11.0,0.0,77.0
19.0,0.0,186.0
11.0,0.0,66.0
24.0,0.0,141.0
45.0,1.0,231.0
336.0,67.0,1120.0
73.0,8.0,445.0
65.0,9.0,384.0
375.5,55.0,1415.5
72.0,5.0,433.5
457.0,113.0,1720.0
20.0,2.0,128.0
219.5,49.5,858.0
36.0,3.0,176.0
179.0,30.0,561.0
30.0,1.0,154.0
118.0,15.0,372.0
59.0,5.0,299.0
285.0,58.0,1008.0
47.0,4.0,170.0
36.0,2.0,144.0
106.0,5.0,407.0
16.0,0.0,97.0
20.0,0.0,100.0
84.0,6.0,260.0
10.0,0.0,55.0
20.0,0.0,103.0
34.0,0.0,201.0
3.0,0.0,47.0
27.0,0.0,113.0
50.0,0.0,261.0
10.0,0.0,68.0
12.0,0.0,161.0
13.0,0.0,109.0
8.0,0.0,55.0
3.5,0.0,72.5
33.5,0.0,217.0
25.0,0.0,110.0
34.0,1.0,150.0
148.5,13.0,455.0
58.0,0.0,251.0
39.0,3.0,165.0
152.0,29.0,460.0
30.5,0.0,154.0
62.0,9.0,290.0
437.0,131.0,1247.0
90.0,22.0,277.0
94.0,11.0,533.0
743.0,182.0,2311.0
123.0,30.0,555.0
69.0,6.0,348.0
464.0,115.0,1541.0
115.0,15.0,333.0
56.0,9.0,253.0
331.5,73.0,1199.0
43.0,0.0,190.0
84.0,9.0,395.0
376.0,83.0,1177.0
33.0,1.0,164.0
63.0,7.0,263.0
277.0,64.0,884.0
46.0,1.0,242.0
58.0,5.0,244.5
266.0,59.0,850.0
49.5,0.0,230.5
53.0,4.0,257.0
294.0,51.0,1034.0
54.0,7.0,189.0
128.0,13.0,418.0
19.0,0.0,100.0
14.0,0.0,97.0
39.0,0.0,219.0
0.0,0.0,31.0
53.0,5.0,250.0
241.0,53.0,692.0
36.0,0.0,137.0
34.0,2.0,137.0
107.0,8.0,395.0
